"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	424	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	174	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	92	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"All other diseases (Residual) "	"GR113-111"	26	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	36	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	36	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	33	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2020"	"2020/01"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	13	Not Applicable	Not Applicable
