"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"Other heart diseases (I26-I51)"	"GR113-064"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	13	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	399	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	169	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	107	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2018"	"2018/01"	"All other diseases (Residual) "	"GR113-111"	11	Not Applicable	Not Applicable
