"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	11	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"Other heart diseases (I26-I51)"	"GR113-064"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	321	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	155	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	84	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"All other diseases (Residual) "	"GR113-111"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	49	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	46	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	40	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Jan., 2019"	"2019/01"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"Other heart diseases (I26-I51)"	"GR113-064"	12	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	346	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	155	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	72	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"All other diseases (Residual) "	"GR113-111"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	36	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	32	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Feb., 2019"	"2019/02"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	30	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2019"	"2019/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2019"	"2019/03"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	414	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2019"	"2019/03"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	183	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2019"	"2019/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	92	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Female"	"F"	"Mar., 2019"	"2019/03"	"All other diseases (Residual) "	"GR113-111"	28	Not Applicable	Not Applicable
